time,wx (rad/s),wy (rad/s),wz (rad/s)
4.358385,-0.01,0.01,-0.01
4.360441,-0.01,-0.01,-0.00
4.363553,0.00,-0.01,-0.01
4.364331,-0.02,0.04,0.00
4.366250,-0.03,0.02,0.00
4.368270,0.02,-0.02,-0.01
4.370235,-0.03,0.02,0.00
4.372206,0.00,-0.05,0.00
4.374508,0.02,-0.05,0.01
4.376495,-0.03,0.04,0.00
4.378203,-0.02,-0.00,-0.01
4.380282,0.00,-0.04,-0.00
4.382402,-0.01,0.03,-0.01
4.384340,-0.02,0.02,-0.00
4.386183,0.01,-0.04,0.01
4.388117,0.00,-0.02,0.00
4.391451,-0.01,0.02,0.01
4.393552,0.00,-0.02,-0.00
4.395311,0.01,-0.02,-0.01
4.397530,-0.01,0.01,-0.01
4.399907,-0.01,0.04,-0.01
4.400268,-0.00,-0.02,0.00
4.403528,0.00,-0.02,0.00
4.404587,-0.01,-0.01,0.01
4.407162,-0.01,0.01,0.00
4.408761,-0.01,0.01,0.00
4.410600,-0.01,0.00,-0.00
4.412622,-0.01,-0.00,-0.02
4.414916,-0.02,-0.01,-0.01
4.416475,-0.01,0.01,-0.01
4.419233,-0.01,0.01,0.01
4.421190,-0.02,0.01,0.01
4.423149,-0.00,-0.01,-0.00
4.425329,0.01,-0.04,0.00
4.426796,-0.01,0.03,-0.00
4.428947,-0.01,0.03,0.00
4.431328,-0.01,0.00,0.00
4.433088,-0.00,0.00,-0.01
4.434654,-0.02,0.02,-0.00
4.436657,-0.01,0.00,0.01
4.439184,0.00,-0.02,0.01
4.440883,-0.01,0.03,-0.00
4.443201,-0.02,0.04,0.00
4.444874,-0.00,-0.03,-0.01
4.446666,0.01,-0.02,-0.01
4.448307,-0.01,0.01,-0.01
4.450663,-0.01,0.01,-0.00
4.452710,-0.00,0.00,0.01
4.454493,-0.01,-0.01,-0.00
4.457580,-0.00,-0.01,0.00
4.458386,-0.00,-0.00,-0.00
4.460843,-0.01,0.02,0.00
4.462653,-0.02,0.03,0.00
4.464670,-0.00,-0.01,-0.00
4.466335,-0.01,0.01,-0.01
4.468366,-0.01,-0.01,0.01
4.471133,0.00,-0.02,0.00
4.472708,-0.01,0.02,0.00
4.475417,-0.02,0.02,-0.01
4.476885,-0.01,-0.01,-0.01
4.479526,0.01,-0.03,-0.00
4.480701,-0.01,0.02,0.00
4.482895,-0.01,0.03,0.01
4.485558,-0.00,-0.01,0.01
4.486643,-0.00,-0.04,0.00
4.488672,-0.01,-0.00,-0.01
4.492285,-0.00,0.02,0.01
4.492776,-0.01,0.03,0.00
4.495655,-0.01,-0.02,-0.01
4.497284,-0.00,-0.01,-0.01
4.499151,-0.01,-0.00,0.00
4.500853,-0.01,0.01,0.01
4.502849,0.00,0.00,0.01
4.504681,-0.01,0.03,-0.01
4.511720,-0.01,-0.01,-0.00
4.512110,-0.00,-0.02,-0.01
4.512219,0.00,-0.01,-0.01
4.512682,-0.02,0.02,0.00
4.514534,-0.00,0.01,0.01
4.516509,-0.01,-0.01,-0.01
4.518721,-0.01,-0.03,-0.00
4.520505,0.00,0.01,-0.01
4.522588,-0.02,0.03,0.01
4.524706,-0.01,0.01,0.00
4.527455,-0.00,-0.02,-0.01
4.528582,-0.02,-0.00,0.01
4.530842,0.01,-0.00,-0.00
4.532809,-0.00,0.03,0.00
4.534900,-0.02,0.02,0.00
4.536810,0.00,-0.04,-0.01
4.538598,0.00,-0.01,-0.02
4.540683,-0.02,0.02,-0.00
4.542710,0.00,-0.02,0.01
4.545137,0.00,-0.01,0.01
4.546925,-0.02,0.02,0.01
4.548670,-0.01,-0.02,0.00
4.550843,-0.01,-0.00,0.00
4.552543,-0.01,0.01,0.01
4.554498,-0.01,0.04,-0.00
4.556724,-0.01,-0.02,0.00
4.558660,-0.00,-0.03,-0.01
4.561700,0.00,0.00,0.00
4.563224,-0.01,-0.01,0.02
4.565008,-0.00,-0.02,0.01
4.566933,-0.00,0.02,-0.00
4.568854,-0.02,0.03,-0.02
4.571428,0.00,-0.01,-0.01
4.573216,-0.00,0.00,-0.01
4.574981,-0.00,-0.01,0.00
4.576846,-0.01,-0.00,0.01
4.579708,-0.01,0.00,0.01
4.581137,-0.01,0.00,0.01
4.582576,0.00,0.01,-0.02
4.584660,-0.02,0.02,-0.01
4.587415,-0.01,0.01,0.00
4.589077,-0.00,-0.01,0.00
4.591280,0.00,-0.00,0.01
4.594019,-0.00,0.02,0.00
4.594956,-0.02,0.01,0.00
4.596684,0.01,-0.02,0.00
4.598796,-0.01,0.02,-0.00
4.601510,-0.02,0.02,0.00
4.602988,0.00,-0.01,0.00
4.604839,-0.01,0.01,-0.00
4.608563,-0.02,0.02,-0.00
4.608920,-0.00,-0.01,-0.00
4.611024,-0.00,-0.01,-0.00
4.612849,-0.00,0.00,-0.00
4.614723,-0.01,0.02,-0.00
4.616686,-0.01,-0.00,0.00
4.618748,-0.00,-0.03,0.00
4.621026,-0.01,-0.01,-0.01
4.625206,-0.01,0.02,0.02
4.625686,0.00,-0.01,-0.00
4.626778,0.00,0.02,-0.00
4.629777,-0.02,0.01,-0.01
4.631061,0.00,-0.03,-0.00
4.632888,0.00,0.01,0.00
4.634862,-0.01,0.03,0.01
4.636819,-0.01,0.01,-0.00
4.639207,0.01,-0.03,-0.01
4.640778,-0.01,-0.01,-0.01
4.643372,-0.01,0.00,-0.00
4.644951,0.00,-0.00,0.02
4.647077,-0.01,0.03,0.01
4.648860,-0.01,0.00,-0.01
4.650954,-0.01,-0.02,0.00
4.653059,0.01,-0.02,-0.01
4.655101,0.00,0.03,-0.01
4.657439,-0.03,0.02,0.02
4.658890,0.01,-0.03,-0.01
4.661453,0.00,-0.03,-0.01
4.662974,-0.01,0.03,-0.00
4.665021,-0.00,0.01,0.01
4.666879,-0.01,0.01,0.00
4.668709,-0.01,0.02,0.00
4.671077,-0.01,-0.03,-0.00
4.674614,-0.00,-0.02,-0.01
4.675309,-0.01,0.03,-0.00
4.677896,-0.01,0.03,0.01
4.678965,-0.00,-0.02,0.00
4.680945,-0.01,-0.01,-0.02
4.682880,-0.01,-0.02,-0.00
4.685036,-0.01,0.00,0.01
4.687215,-0.00,-0.01,0.00
4.689230,-0.01,0.01,-0.01
4.692487,-0.01,0.03,-0.01
4.696762,-0.00,-0.02,0.00
4.697162,0.01,-0.04,-0.01
4.697276,-0.01,0.04,-0.01
4.699717,-0.01,-0.02,0.01
4.701253,0.01,-0.04,0.01
4.702974,-0.00,-0.02,0.00
4.705947,-0.01,0.03,-0.01
4.708076,-0.01,-0.01,0.01
4.708942,-0.01,-0.03,-0.01
4.712258,-0.00,0.01,-0.01
4.713348,-0.01,0.03,-0.00
4.715603,-0.00,-0.03,0.01
4.716820,0.01,-0.02,-0.00
4.719247,-0.02,0.05,-0.01
4.720888,-0.01,-0.05,0.01
4.723471,0.01,-0.06,-0.00
4.724954,0.00,0.00,-0.00
4.730430,-0.03,0.06,0.01
4.730653,-0.01,0.02,0.00
4.731136,0.00,-0.01,-0.02
4.735289,-0.02,-0.00,-0.00
4.740203,0.01,-0.02,0.01
4.740725,-0.00,-0.00,0.01
4.740938,-0.01,0.03,0.01
4.741186,-0.01,-0.02,-0.01
4.744322,0.00,-0.04,0.01
4.745630,-0.00,0.00,-0.02
4.747277,-0.02,0.03,-0.00
4.749197,0.00,-0.02,0.02
4.751171,0.01,-0.00,0.00
4.753435,-0.02,0.03,-0.01
4.755055,0.00,-0.03,0.00
4.757513,0.01,-0.05,0.00
4.759334,-0.02,0.03,0.01
4.762053,-0.02,0.02,0.00
4.763148,0.02,-0.04,-0.00
4.764948,-0.01,-0.01,0.00
4.767348,-0.02,0.03,0.00
4.768942,-0.00,-0.01,-0.00
4.771413,-0.01,-0.00,-0.01
4.773835,-0.01,-0.02,0.00
4.775205,0.01,0.01,0.00
4.778356,-0.00,0.02,0.00
4.779138,-0.01,0.02,-0.01
4.781089,-0.00,-0.03,0.00
4.783273,0.00,-0.02,-0.01
4.785078,-0.01,0.02,-0.00
4.787205,-0.00,0.00,0.01
4.789249,0.00,-0.01,-0.01
4.792031,-0.02,0.01,-0.02
4.793598,-0.01,-0.02,-0.00
4.795772,-0.00,0.02,0.00
4.797467,-0.02,0.00,0.01
4.799281,-0.01,-0.01,0.00
4.801067,-0.01,-0.01,0.00
4.803308,-0.01,-0.01,-0.01
4.805054,-0.00,0.00,-0.01
4.807810,-0.01,-0.00,0.00
4.809127,-0.01,0.00,-0.01
4.811750,-0.00,0.03,0.00
4.813250,-0.01,0.01,-0.01
4.815208,-0.00,-0.01,0.01
4.817251,0.00,-0.03,0.00
4.819161,0.00,-0.02,0.01
4.821179,-0.01,0.00,0.01
4.826391,-0.01,0.02,-0.01
4.826720,-0.01,0.02,0.00
4.827358,-0.00,-0.03,-0.01
4.829297,-0.01,0.01,0.00
4.831276,-0.02,0.05,0.00
4.833578,-0.01,0.02,0.01
4.835190,0.00,-0.04,0.00
4.837494,-0.00,0.01,-0.00
4.840266,-0.02,0.03,0.00
4.841330,-0.00,-0.02,0.00
4.843340,-0.00,0.01,0.00
4.845832,-0.02,0.02,0.00
4.847212,-0.00,0.00,0.00
4.849262,0.00,-0.02,0.01
4.851335,-0.00,-0.00,0.01
4.853826,-0.00,0.01,0.01
4.855154,-0.01,0.02,0.00
4.857491,-0.01,-0.02,-0.02
4.859522,0.00,-0.02,-0.00
4.861643,-0.01,0.01,-0.00
4.863433,-0.00,-0.02,0.01
4.865774,-0.00,0.01,0.00
4.867223,-0.01,0.01,-0.00
4.869237,-0.01,-0.01,-0.00
4.871578,0.00,-0.00,0.00
4.873978,-0.00,0.00,-0.00
4.875482,-0.00,-0.01,0.00
4.878501,-0.02,0.01,0.01
4.880336,-0.01,-0.01,-0.00
4.881908,0.00,-0.01,-0.00
4.883766,-0.01,0.04,-0.00
4.885738,-0.02,0.00,-0.01
4.887601,-0.00,-0.05,0.01
4.890091,0.01,0.00,-0.01
4.892480,-0.03,0.04,0.01
4.894430,-0.02,-0.01,0.02
4.897510,0.02,-0.03,-0.01
4.897752,-0.03,0.04,0.00
4.899743,0.01,-0.02,0.00
4.901787,0.01,-0.01,0.00
4.903628,-0.01,-0.01,0.00
4.905645,-0.00,0.00,-0.00
4.912807,0.00,0.00,0.01
4.913516,-0.02,0.02,0.00
4.913657,0.00,-0.01,-0.01
4.913917,-0.01,0.01,-0.01
4.915909,-0.02,-0.02,-0.01
4.917877,0.00,-0.02,0.00
4.919779,-0.01,0.05,0.00
4.921928,-0.02,0.04,0.01
4.923664,-0.00,-0.06,-0.00
4.926865,0.00,-0.01,-0.00
4.927297,-0.01,0.02,0.00
4.929929,-0.01,0.00,0.01
4.931617,0.00,-0.01,-0.00
4.934210,-0.02,0.03,-0.01
4.935909,-0.01,0.00,-0.00
4.938046,0.01,-0.04,-0.00
4.940567,-0.01,0.03,0.00
4.941974,-0.02,0.07,-0.00
4.943757,-0.01,-0.01,0.00
4.947621,0.01,-0.05,-0.00
4.947857,-0.02,0.04,-0.00
4.949740,-0.02,0.03,-0.00
4.951632,0.00,-0.03,0.00
4.954105,0.00,-0.02,-0.00
4.956947,-0.01,0.03,-0.01
4.957625,-0.02,0.03,0.00
4.959518,0.00,-0.05,-0.01
4.962041,-0.01,0.02,-0.00
4.963792,-0.01,0.04,0.00
4.966535,-0.00,0.01,0.00
4.968192,-0.01,-0.03,-0.00
4.969856,-0.00,-0.04,-0.01
4.971774,-0.00,-0.00,0.00
4.973765,-0.01,0.04,0.01
4.975872,-0.01,0.04,0.00
4.977821,0.00,-0.03,-0.01
4.980132,0.00,-0.01,-0.01
4.983101,-0.02,-0.00,0.01
4.983627,0.01,-0.03,0.01
4.986033,-0.01,0.02,-0.00
4.987923,-0.02,0.02,0.00
4.992465,-0.00,-0.02,-0.01
4.992914,0.00,-0.02,0.00
4.997442,-0.02,0.03,0.00
4.997721,0.01,-0.03,0.01
4.997855,0.00,-0.03,-0.00
5.000033,-0.01,0.01,0.00
5.002024,0.00,-0.01,-0.00
5.004007,0.00,-0.00,-0.00
5.006243,-0.02,0.03,-0.02
5.018248,0.00,-0.01,0.01
5.019068,-0.00,-0.02,0.00
5.019395,-0.00,0.01,0.01
5.019560,-0.01,0.00,0.01
5.019937,0.00,-0.02,-0.00
5.020064,0.00,-0.00,-0.00
5.020160,-0.01,0.00,0.00
5.022151,-0.01,-0.01,-0.00
5.023693,0.00,-0.02,0.00
5.025962,-0.01,0.02,-0.01
5.029627,-0.02,0.01,0.00
5.030159,0.00,-0.01,0.00
5.031538,0.00,0.00,0.00
5.033697,-0.02,0.00,-0.01
5.035500,0.00,-0.03,0.01
5.041179,-0.00,-0.00,0.01
5.041409,-0.01,0.02,-0.00
5.042129,-0.01,-0.01,-0.01
5.043906,-0.00,-0.02,-0.00
5.046018,-0.00,0.01,-0.00
5.047924,-0.00,0.01,0.01
5.049988,-0.00,0.01,-0.00
5.051743,-0.01,0.01,-0.01
5.054014,-0.00,-0.04,0.01
5.056131,-0.00,0.01,0.00
5.057985,-0.01,0.02,-0.00
5.059865,-0.01,0.00,0.01
5.062009,0.01,-0.01,-0.01
5.064409,-0.03,0.01,-0.00
5.065901,-0.01,-0.00,0.01
5.067822,0.00,0.01,-0.01
5.069808,-0.02,0.02,0.00
5.071777,-0.01,-0.00,-0.01
5.074954,0.01,-0.01,0.00
5.075601,-0.01,-0.01,0.00
5.077623,-0.00,0.00,0.00
5.079639,-0.01,0.01,-0.00
5.081841,-0.01,0.01,0.00
5.084029,-0.00,-0.03,-0.01
5.086372,0.02,-0.03,-0.01
5.087787,-0.01,0.05,-0.00
5.091927,-0.01,-0.02,0.01
5.092280,0.01,-0.03,-0.00
5.094264,-0.00,0.00,-0.00
5.096190,-0.02,0.03,-0.01
5.099208,0.01,-0.01,-0.00
5.099604,-0.00,-0.03,-0.00
5.101907,-0.01,0.01,-0.01
5.104904,-0.01,0.02,0.01
5.105972,-0.01,0.02,0.00
5.107843,-0.00,-0.03,-0.00
5.111112,-0.00,0.02,-0.00
5.111770,-0.02,0.00,0.01
5.114068,0.00,-0.02,-0.00
5.115840,-0.00,0.01,-0.00
5.117851,-0.02,-0.00,0.01
5.119851,-0.00,-0.03,0.00
5.122156,0.00,0.01,-0.00
5.123827,-0.02,0.02,-0.00
5.127265,0.00,-0.01,-0.00
5.127918,0.00,0.01,-0.01
5.129727,-0.01,-0.00,-0.00
5.132160,0.01,-0.03,0.01
5.134157,-0.01,0.00,0.00
5.137253,0.00,-0.01,0.00
5.138780,0.00,-0.01,0.01
5.140347,-0.00,0.02,-0.01
5.142554,-0.02,0.03,-0.01
5.143764,0.00,-0.03,-0.00
5.145907,0.00,0.00,-0.00
5.147699,-0.02,0.04,-0.00
5.149892,-0.01,0.01,0.01
5.152118,0.00,-0.03,-0.00
5.153855,-0.01,-0.00,-0.00
5.157020,-0.01,-0.00,0.00
5.158089,0.00,0.01,0.00
5.160812,-0.02,-0.01,0.00
5.162162,0.00,-0.02,-0.00
5.163983,-0.00,0.02,0.00
5.165987,-0.01,0.00,-0.00
5.167796,-0.00,-0.03,-0.01
5.170107,-0.00,0.01,-0.00
5.171851,-0.02,-0.00,0.01
5.174364,0.01,-0.02,0.00
5.175992,0.00,0.01,0.00
5.178367,-0.02,0.03,0.00
5.179776,0.00,-0.03,-0.00
5.182042,0.01,-0.01,-0.01
5.183884,-0.02,0.04,-0.01
5.186240,-0.00,-0.01,0.01
5.187751,0.01,-0.01,-0.00
5.192068,0.00,-0.02,0.00
5.193159,-0.01,-0.00,-0.01
5.195171,-0.01,0.02,-0.00
5.197941,-0.02,-0.00,0.01
5.198112,0.01,-0.02,0.00
5.200144,-0.02,0.03,-0.00
5.202357,-0.02,0.01,0.00
5.204090,0.01,-0.01,-0.00
5.206497,-0.02,0.01,0.00
5.214923,-0.00,-0.01,-0.01
5.215648,0.01,-0.01,-0.01
5.216102,-0.02,0.03,-0.00
5.216281,0.00,-0.02,0.01
5.216402,0.00,-0.04,0.01
5.218250,-0.00,0.01,-0.01
5.220193,-0.03,0.06,0.00
5.222149,0.00,-0.05,0.00
5.224005,0.01,-0.07,-0.01
5.226257,-0.00,0.03,-0.01
5.228544,-0.02,0.03,0.02
5.230343,-0.01,-0.01,0.01
5.232497,0.01,-0.03,-0.01
5.234958,-0.03,0.02,-0.01
5.237006,-0.01,0.00,0.01
5.238641,0.01,-0.01,-0.00
5.240142,-0.01,-0.00,0.01
5.243301,-0.01,0.01,-0.01
5.245577,0.00,-0.01,0.00
5.246403,-0.01,-0.02,-0.01
5.248803,-0.00,0.00,0.00
5.250595,-0.01,0.01,0.01
5.252721,-0.00,-0.01,-0.01
5.254879,-0.01,0.00,-0.00
5.257310,-0.01,0.04,0.01
5.258634,-0.00,0.02,0.01
5.260215,-0.00,-0.01,-0.01
5.263738,-0.00,-0.03,0.00
5.264853,0.00,-0.04,0.01
5.266725,-0.00,0.01,0.00
5.268630,-0.02,0.04,0.00
5.270584,-0.02,0.01,-0.00
5.272626,0.01,-0.03,-0.01
5.275626,-0.01,0.02,0.00
5.276582,-0.01,0.02,0.01
5.278651,0.00,-0.02,0.02
5.281506,-0.00,-0.01,-0.01
5.283763,-0.01,-0.01,-0.01
5.284326,-0.00,-0.02,0.00
5.286549,-0.00,-0.00,-0.01
5.288452,-0.01,0.05,-0.01
5.290585,-0.01,0.00,0.02
5.297542,-0.00,-0.03,0.00
5.297745,0.00,-0.00,-0.01
5.297913,-0.02,0.02,0.01
5.305564,-0.01,-0.01,0.01
5.306116,0.02,-0.04,0.00
5.306318,-0.02,0.05,-0.01
5.306501,-0.02,0.04,-0.02
5.306651,0.00,-0.05,-0.00
5.308748,-0.00,0.00,-0.01
5.310263,-0.02,0.04,0.01
5.312125,-0.01,0.01,0.01
5.314738,0.01,-0.04,-0.01
5.316035,-0.02,0.03,0.00
5.318568,-0.02,-0.00,0.00
5.320032,0.01,0.01,-0.01
5.322312,-0.03,-0.00,0.01
5.324930,0.02,-0.02,0.01
5.326222,-0.01,0.02,0.00
5.328027,-0.01,0.01,0.00
5.330502,-0.01,-0.01,-0.01
5.332098,0.00,-0.01,-0.00
5.334386,-0.01,0.00,0.00
5.336082,-0.00,-0.02,0.00
5.338468,-0.00,-0.02,-0.00
5.340372,-0.01,0.03,0.01
5.342599,-0.02,0.02,-0.00
5.345533,-0.01,0.00,-0.00
5.346604,-0.01,0.02,-0.01
5.348513,-0.01,0.00,-0.01
5.350634,0.01,-0.04,0.01
5.352290,0.01,-0.03,0.01
5.354592,-0.02,0.04,-0.00
5.356869,0.00,-0.03,-0.01
5.359511,0.01,-0.01,-0.01
5.360466,-0.01,0.04,-0.01
5.362565,-0.01,0.03,0.01
5.364229,0.00,-0.03,0.00
5.366413,0.00,-0.01,-0.00
5.368350,-0.02,0.00,0.00
5.370928,0.00,-0.03,-0.01
5.372411,-0.01,0.04,-0.00
5.375072,-0.02,0.01,0.00
5.377119,0.01,-0.03,-0.01
5.378968,-0.01,0.02,-0.01
5.380200,-0.02,0.02,-0.00
5.382407,-0.01,-0.00,0.00
5.384235,-0.00,0.02,-0.00
5.386777,-0.01,0.02,-0.01
5.388666,-0.01,-0.02,-0.01
5.391481,0.01,-0.04,0.00
5.393930,-0.02,0.02,0.01
5.394727,-0.01,0.04,0.00
5.396203,-0.01,0.00,-0.00
5.399924,0.00,-0.06,-0.00
5.400258,0.01,-0.04,0.00
5.402986,-0.01,0.04,-0.00
5.404512,-0.01,0.03,-0.00
5.420793,0.00,-0.05,0.01
5.421378,0.00,-0.03,-0.01
5.421567,-0.02,0.03,-0.01
5.421708,-0.00,-0.02,0.01
5.421821,-0.00,-0.04,-0.00
5.421930,-0.00,0.00,0.01
5.422043,-0.01,0.03,0.00
5.422148,-0.01,0.01,-0.01
5.425838,-0.00,-0.02,0.00
5.426108,-0.01,-0.01,0.00
5.428790,-0.01,0.02,-0.00
5.429310,-0.01,0.01,0.01
5.431344,-0.01,-0.01,-0.00
5.432903,-0.00,0.00,-0.00
5.434515,-0.01,0.00,-0.00
5.436787,-0.00,-0.01,-0.00
5.438219,-0.01,0.02,0.00
5.440783,-0.00,0.01,-0.01
5.443123,0.00,0.02,-0.01
5.444421,-0.01,-0.02,0.00
5.446607,0.01,-0.02,-0.01
5.448301,0.00,0.02,0.00
5.450739,-0.02,-0.00,0.01
5.452457,0.01,-0.03,-0.01
5.454602,-0.02,0.05,-0.00
5.456550,-0.02,0.05,0.00
5.458682,0.01,-0.04,-0.01
5.460446,-0.00,-0.01,-0.00
5.463244,-0.02,0.03,-0.00
5.464439,-0.00,-0.02,0.00
5.466669,0.01,-0.02,-0.00
5.468802,-0.00,-0.00,0.00
5.470558,-0.01,0.01,-0.02
5.474721,-0.00,0.00,-0.00
5.474952,-0.01,-0.00,-0.00
5.477139,-0.01,0.00,0.00
5.479809,-0.00,0.01,-0.01
5.480342,-0.01,0.01,-0.00
5.482600,-0.00,-0.03,0.00
5.484469,0.00,-0.02,-0.00
5.486685,-0.01,0.01,-0.00
5.488647,-0.00,0.02,-0.02
5.491619,-0.00,0.03,-0.01
5.492832,-0.02,0.00,-0.01
5.495887,0.01,-0.02,-0.01
5.496434,0.00,0.00,-0.01
5.499022,-0.02,0.02,0.01
5.500487,-0.01,-0.01,0.01
5.502774,0.00,-0.01,-0.01
5.504418,0.00,-0.01,-0.01
5.517137,-0.02,0.01,-0.00
5.518887,0.00,-0.01,0.00
5.519333,0.01,-0.02,0.00
5.519427,-0.01,-0.00,0.00
5.519510,-0.00,0.02,-0.01
5.519595,-0.00,0.01,-0.01
5.519822,-0.01,-0.01,-0.00
5.520463,-0.00,0.02,-0.01
5.522989,-0.01,0.01,-0.00
5.524675,-0.01,-0.01,-0.01
5.526762,0.00,-0.01,0.01
5.528561,-0.01,-0.00,0.02
5.530692,0.00,0.01,-0.00
5.532765,-0.00,0.01,-0.00
5.534830,-0.01,0.00,0.00
5.536699,0.00,-0.03,0.01
5.538999,0.00,-0.01,0.00
5.540810,-0.01,0.03,-0.01
5.543352,-0.01,0.01,0.00
5.545442,-0.00,-0.02,0.01
5.546871,-0.01,-0.02,-0.01
5.548857,-0.01,0.01,0.00
5.550798,-0.00,0.02,0.01
5.552742,-0.01,0.01,0.01
5.555232,-0.01,-0.03,0.00
5.556866,0.00,-0.00,-0.00
5.558957,-0.01,0.03,0.00
5.562242,-0.01,0.03,0.00
5.563119,0.00,-0.03,0.00
5.564609,-0.00,-0.03,-0.01
5.566851,-0.01,0.03,-0.00
5.568598,-0.01,0.01,0.02
5.571583,0.00,0.01,0.00
5.576331,-0.02,0.03,-0.01
5.576525,-0.02,-0.00,-0.00
5.576797,0.00,-0.00,0.00
5.580467,-0.01,0.00,0.01
5.580858,-0.01,-0.01,-0.00
5.585486,0.00,0.00,0.00
5.585733,-0.02,0.01,0.01
5.587796,-0.01,0.01,0.01
5.589451,-0.00,-0.02,0.00
5.591711,-0.01,0.03,-0.01
5.594219,-0.01,0.03,-0.00
5.594853,-0.00,-0.04,0.01
5.596654,-0.00,0.01,-0.00
5.600285,-0.01,0.04,0.00
5.601365,-0.02,0.02,0.00
5.604716,0.01,-0.05,0.00
5.605050,-0.01,-0.01,-0.00
5.607890,-0.01,0.01,0.00
5.609771,-0.01,0.03,0.02
5.612747,-0.01,0.03,0.01
5.613147,-0.01,0.01,-0.00
5.615661,0.00,-0.04,0.00
5.616873,-0.01,-0.01,0.01
5.618877,-0.00,0.06,0.00
5.621104,-0.02,0.06,0.00
5.623656,0.00,-0.02,0.00
5.625084,-0.01,0.01,-0.01
5.627134,-0.02,0.02,-0.01
5.629269,0.01,-0.03,0.02
5.632325,-0.01,0.01,0.02
5.633031,-0.02,0.03,0.01
5.635451,-0.00,-0.01,-0.00
5.637226,-0.01,0.02,-0.02
5.639479,-0.02,-0.02,-0.01
5.641704,0.01,-0.04,0.01
5.643111,-0.01,0.04,0.01
5.645229,-0.02,0.03,0.00
5.649132,-0.00,-0.02,0.01
5.649564,0.00,-0.03,-0.01
5.651275,-0.01,-0.01,-0.00
5.654845,0.00,0.04,0.01
5.655265,-0.01,0.04,0.01
5.657686,-0.01,-0.02,0.01
5.659209,-0.00,0.01,-0.01
5.663758,-0.01,0.01,-0.00
5.664152,-0.00,-0.02,0.01
5.665655,0.00,0.01,0.02
5.667910,-0.01,0.05,0.01
5.669342,-0.01,0.01,-0.01
5.672194,0.00,-0.01,-0.02
5.674324,-0.01,-0.01,0.01
5.675692,-0.01,-0.00,0.00
5.679011,-0.00,0.00,0.01
5.679481,-0.01,0.02,0.00
5.681792,-0.01,-0.01,0.01
5.684442,0.00,0.01,-0.00
5.686180,-0.01,-0.02,0.01
5.687124,0.00,-0.01,-0.00
5.689388,-0.00,0.03,0.01
5.691364,-0.03,0.01,0.01
5.693334,0.01,-0.03,-0.00
5.695425,0.00,0.00,-0.01
5.697344,-0.02,0.05,-0.01
5.699221,0.00,-0.04,0.00
5.701525,0.01,-0.05,0.00
5.703450,-0.01,0.01,0.01
5.705605,-0.00,0.01,0.01
5.710725,-0.01,-0.00,-0.01
5.711387,-0.01,-0.01,-0.01
5.711658,-0.01,0.01,0.01
5.712864,-0.01,0.01,-0.01
5.716247,-0.01,0.02,-0.01
5.717154,-0.01,-0.02,0.01
5.719641,-0.00,-0.03,0.01
5.721761,-0.01,0.02,0.00
5.724081,-0.01,0.03,0.00
5.738588,-0.01,0.02,-0.00
5.739373,0.00,-0.01,-0.01
5.739649,-0.01,0.03,-0.00
5.739861,-0.01,-0.00,0.00
5.740072,0.01,-0.01,0.01
5.740262,-0.02,-0.01,0.01
5.740444,-0.01,-0.03,0.01
5.740624,0.00,0.00,-0.01
5.741734,-0.02,0.03,-0.01
5.743856,-0.02,0.03,-0.02
5.746101,0.01,-0.00,-0.00
5.747489,-0.02,0.03,-0.01
5.749886,-0.02,0.01,-0.01
5.751599,0.00,-0.03,0.01
5.753626,-0.00,0.01,0.02
5.755980,-0.01,-0.00,-0.01
5.758557,0.01,-0.02,-0.01
5.760908,-0.02,0.02,-0.01
5.761521,-0.01,-0.01,-0.01
5.764222,-0.00,-0.02,0.01
5.765952,-0.00,0.03,-0.00
5.767608,-0.02,0.01,0.01
5.769719,0.02,-0.06,0.01
5.772437,0.01,-0.05,-0.01
5.774686,-0.02,0.04,-0.01
5.775379,-0.01,0.04,0.00
5.778053,-0.00,-0.01,-0.01
5.779729,-0.01,-0.00,-0.01
5.781793,-0.01,0.02,-0.00
5.783836,-0.00,-0.03,0.02
5.785715,0.01,-0.02,0.01
5.788748,-0.01,0.02,-0.00
5.791439,-0.00,-0.01,0.00
5.792258,0.00,-0.02,-0.01
5.795211,-0.01,0.02,-0.01
5.795748,-0.01,-0.01,0.00
5.797879,0.01,-0.02,0.01
5.799675,-0.01,0.02,0.00
5.801804,-0.01,0.03,-0.00
5.803539,0.00,-0.05,0.00
5.805804,0.01,-0.05,0.00
5.810696,-0.01,0.02,-0.00
5.811480,-0.02,0.01,-0.00
5.812342,-0.00,-0.01,-0.00
5.813644,-0.00,-0.02,0.00
5.815727,-0.01,0.01,-0.01
5.817327,0.00,0.02,-0.00
5.819969,-0.02,-0.00,0.00
5.822907,0.00,-0.03,0.01
5.846291,-0.01,0.02,0.00
5.847063,-0.02,0.04,-0.01
5.847379,-0.00,0.00,-0.01
5.847620,-0.00,-0.03,-0.00
5.847870,-0.00,-0.00,-0.01
5.848105,-0.02,0.03,-0.01
5.848358,0.00,-0.02,0.01
5.848619,-0.01,-0.00,0.01
5.848928,-0.01,0.01,-0.00
5.849382,-0.01,0.02,-0.01
5.849617,0.00,-0.03,-0.00
5.849871,0.00,-0.02,-0.00
5.850220,-0.02,0.01,0.01
5.850405,-0.00,0.00,-0.01
5.851567,-0.01,-0.00,-0.00
