time,wx (rad/s),wy (rad/s),wz (rad/s)
0.329977,0.00,0.01,-0.01
0.331602,-0.00,0.04,-0.00
0.332739,-0.02,0.01,-0.01
0.335711,-0.00,0.01,0.00
0.336814,-0.01,0.01,0.01
0.339463,-0.01,0.01,-0.01
0.341888,-0.00,-0.00,-0.01
0.344267,-0.01,-0.03,0.00
0.344596,-0.00,-0.02,0.01
0.348701,-0.01,0.07,-0.01
0.349049,-0.02,0.00,-0.00
0.352493,-0.01,-0.03,0.00
0.353027,-0.00,-0.01,0.00
0.355950,-0.02,0.04,-0.01
0.356892,-0.01,0.01,0.01
0.361158,-0.01,-0.02,-0.01
0.361343,-0.01,-0.01,0.00
0.363661,-0.00,-0.00,-0.02
0.364648,-0.00,0.04,-0.01
0.367848,-0.01,0.02,0.00
0.369072,-0.00,-0.06,-0.00
0.371684,0.01,-0.04,-0.01
0.373789,-0.01,0.04,0.00
0.375534,-0.01,-0.00,0.01
0.376586,-0.00,-0.02,0.01
0.380188,0.00,-0.03,0.00
0.381042,-0.01,0.03,-0.01
0.384008,-0.02,0.05,0.00
0.385034,-0.02,0.00,0.00
0.387782,0.00,-0.04,-0.02
0.389394,-0.01,0.02,-0.00
0.392266,-0.02,0.03,0.00
0.393013,-0.00,-0.02,0.00
0.395944,-0.01,-0.03,-0.00
0.396818,-0.00,0.01,0.01
0.399652,-0.01,0.04,0.00
0.400835,-0.01,0.04,-0.00
0.403709,-0.01,-0.05,-0.00
0.405034,0.00,-0.05,-0.00
0.407739,-0.01,0.02,0.01
0.408823,-0.01,0.04,-0.00
0.411510,-0.01,0.02,0.00
0.412789,-0.01,-0.00,-0.01
0.415870,-0.01,-0.04,-0.01
0.416820,0.01,-0.00,-0.00
0.419933,0.00,0.03,0.01
0.420754,-0.03,0.03,0.00
0.424276,-0.00,-0.02,-0.01
0.425134,0.00,-0.03,-0.01
0.428304,-0.01,0.02,-0.00
0.429010,-0.01,0.02,0.00
0.431668,-0.00,-0.05,0.01
0.432830,-0.00,-0.05,0.00
0.435780,0.01,0.04,0.01
0.436902,-0.02,0.06,-0.01
0.440151,-0.02,0.01,-0.00
0.442234,0.01,-0.06,-0.01
0.444227,-0.02,0.01,-0.01
0.445009,-0.01,-0.00,0.00
0.447958,0.00,-0.01,-0.00
0.449086,-0.01,0.03,0.01
0.451995,-0.01,0.00,0.01
0.452944,-0.00,-0.01,-0.02
0.455833,-0.00,-0.03,0.00
0.457048,0.00,0.00,0.00
0.460068,-0.00,0.04,0.02
0.460930,-0.02,0.02,0.01
0.464697,-0.01,-0.02,-0.01
0.464859,-0.00,-0.01,-0.00
0.467868,-0.01,-0.01,-0.00
0.469046,-0.00,0.02,0.00
0.471928,-0.02,0.02,0.00
0.473081,-0.02,-0.03,0.01
0.475838,0.01,-0.06,-0.01
0.479294,-0.01,0.04,0.00
0.479587,-0.02,0.05,0.01
0.481089,-0.01,0.02,-0.00
0.484509,-0.01,0.01,-0.01
0.484958,-0.01,-0.02,-0.02
0.488091,0.01,-0.04,-0.02
0.488898,-0.00,-0.00,0.00
0.491650,-0.01,0.04,0.01
0.495801,-0.02,0.05,0.00
0.496008,-0.01,-0.02,-0.01
0.497178,0.01,-0.05,-0.01
0.500113,-0.01,0.03,0.01
0.501102,-0.02,0.04,0.00
0.504067,-0.01,0.00,0.00
0.505757,-0.01,0.02,0.01
0.508072,-0.01,0.02,-0.00
0.509160,-0.01,0.01,-0.01
0.513392,-0.01,-0.00,-0.01
0.515212,-0.00,-0.01,-0.00
0.516930,-0.01,-0.01,0.00
0.517205,-0.00,0.00,-0.00
0.519807,-0.01,-0.00,0.00
0.520922,-0.01,-0.01,0.00
0.524244,0.00,-0.02,0.00
0.525051,-0.02,0.05,-0.01
0.527967,-0.02,0.04,0.01
0.529110,0.01,-0.05,-0.01
0.531811,-0.01,0.01,-0.01
0.533028,-0.02,0.02,-0.01
0.535915,-0.00,-0.02,-0.00
0.536852,-0.01,-0.00,0.01
0.539971,-0.01,0.01,-0.02
0.540945,-0.00,-0.01,-0.01
0.545838,-0.01,-0.00,0.00
0.546067,-0.01,-0.00,-0.00
0.548050,-0.01,-0.01,0.00
0.549056,-0.00,0.02,-0.01
0.552142,-0.02,0.02,0.01
0.553118,0.00,-0.01,-0.00
0.556146,0.00,-0.01,-0.02
0.558413,-0.01,-0.00,0.00
0.560336,0.00,0.01,0.00
0.561326,-0.01,0.02,-0.00
0.563886,-0.01,-0.01,0.00
0.564861,0.00,0.00,-0.01
0.567965,-0.01,-0.02,-0.00
0.569056,-0.01,-0.02,0.00
0.571910,-0.00,0.02,-0.01
0.573035,-0.02,0.02,0.00
0.575796,-0.02,-0.01,0.00
0.578435,0.01,-0.02,-0.01
0.580072,-0.03,0.02,0.00
0.581061,-0.01,0.00,0.00
0.584070,0.00,0.00,-0.01
0.585054,-0.02,-0.01,0.01
0.587890,0.01,-0.02,-0.01
0.588924,-0.00,0.03,0.00
0.591915,-0.03,0.02,-0.00
0.593538,0.01,-0.04,0.00
0.596187,-0.00,0.00,0.01
0.597279,-0.01,0.03,-0.00
0.600178,-0.01,-0.01,-0.00
0.601140,-0.00,-0.01,-0.00
0.603891,-0.00,0.00,0.00
0.605227,-0.01,0.00,0.01
0.608018,-0.00,0.02,-0.01
0.609015,-0.01,0.01,0.01
0.612080,-0.00,-0.03,-0.00
0.614123,-0.01,0.01,0.01
0.616048,-0.02,0.01,-0.01
0.617019,0.00,-0.00,0.01
0.620093,-0.01,0.02,0.01
0.620929,-0.01,-0.01,0.00
0.624136,0.00,0.00,-0.00
0.625178,-0.01,0.02,-0.00
0.628026,-0.00,-0.03,0.01
0.629575,0.01,-0.02,0.00
0.631853,-0.01,0.07,-0.02
0.633189,-0.02,0.02,0.01
0.636072,0.02,-0.07,-0.01
0.636925,0.00,-0.02,-0.01
0.639931,-0.02,0.03,0.01
