time,gFx,gFy,gFz,TgF
0.249325,0.0818,0.0159,1.1143,1.117
0.252105,0.0689,0.0098,1.0105,1.013
0.253296,0.0901,-0.0017,0.9306,0.935
0.256265,0.1197,-0.0100,0.9914,0.999
0.264895,0.1178,-0.0369,1.0837,1.091
0.265489,0.1422,-0.0029,1.0730,1.082
0.265853,0.1080,0.0127,1.0544,1.060
0.266133,0.0816,-0.0046,0.9963,1.000
0.266360,0.0777,-0.0142,0.9631,0.966
0.268393,0.1236,-0.0054,0.9719,0.980
0.269476,0.1170,-0.0232,1.0688,1.075
0.272377,0.0728,0.0064,1.0471,1.050
0.273954,0.1319,0.0066,0.9205,0.930
0.276351,0.0806,-0.0242,0.9398,0.944
0.277712,0.0701,-0.0195,1.0752,1.078
0.280415,0.0770,0.0083,1.0806,1.083
0.281772,0.0545,0.0139,1.0310,1.033
0.284496,0.0755,-0.0147,0.9569,0.960
0.285546,0.0848,-0.0149,0.9491,0.953
0.288427,0.0831,0.0000,1.0012,1.005
0.289390,0.0748,-0.0061,1.1292,1.132
0.292696,0.0941,-0.0186,1.0195,1.024
0.293576,0.0674,0.0068,0.9303,0.933
0.296590,0.0630,0.0164,0.9591,0.961
0.297957,0.0862,0.0029,1.0483,1.052
0.300320,0.0889,-0.0144,1.0395,1.043
0.301408,0.1224,-0.0393,0.9811,0.990
0.304656,0.0980,-0.0169,0.9777,0.983
0.305945,0.1036,0.0127,1.0698,1.075
0.309250,0.0608,0.0098,0.9987,1.001
0.309678,0.1070,0.0203,0.9704,0.976
0.312915,0.0748,-0.0296,1.0024,1.006
0.314154,0.1038,-0.0125,1.0026,1.008
0.316685,0.1456,-0.0296,1.0085,1.019
0.317599,0.0638,0.0193,1.0449,1.047
0.320390,0.0919,0.0020,0.9433,0.948
0.321917,0.1185,-0.0249,0.9047,0.913
0.336458,0.1151,-0.0169,0.9672,0.974
0.336800,0.1011,-0.0300,1.0662,1.071
0.336946,0.1160,0.0213,1.0407,1.047
0.337078,0.0914,0.0318,0.9850,0.990
0.337198,0.0721,-0.0217,0.9811,0.984
0.337356,0.0728,-0.0044,1.0109,1.014
0.337514,0.0779,0.0034,0.9936,0.997
0.337686,0.0733,-0.0034,0.9916,0.994
0.340569,0.1353,-0.0349,1.0547,1.064
0.341527,0.1073,-0.0095,0.9946,1.000
0.344780,0.0850,0.0083,0.9731,0.977
0.345592,0.0789,0.0042,1.0280,1.031
0.348358,0.0843,0.0081,1.0390,1.042
0.349609,0.0613,0.0117,1.0293,1.031
0.352485,0.1151,-0.0371,1.0532,1.060
0.354130,0.0586,-0.0090,1.0139,1.016
0.356508,0.0677,-0.0032,0.9912,0.993
0.357566,0.1060,-0.0344,0.9775,0.984
0.360591,0.1290,-0.0154,0.9667,0.975
0.361920,0.1175,0.0024,1.0407,1.047
0.364501,0.0941,0.0015,1.0725,1.077
0.365622,0.1192,-0.0354,1.0095,1.017
0.368335,0.0865,-0.0125,0.9039,0.908
0.369540,0.0708,-0.0012,0.9147,0.917
0.372239,0.1341,-0.0244,1.0317,1.041
0.373797,0.1063,-0.0061,1.0442,1.050
0.376441,0.1195,-0.0445,1.0305,1.038
0.377641,0.1244,-0.0332,1.0300,1.038
0.380578,0.0792,0.0064,0.9953,0.998
0.381501,0.0955,0.0090,1.0092,1.014
0.384180,0.0916,0.0098,1.0080,1.012
0.385348,0.1104,-0.0061,0.9567,0.963
0.388335,0.1466,-0.0129,0.9460,0.957
0.390403,0.1544,-0.0073,0.9980,1.010
0.392574,0.1287,-0.0149,1.0752,1.083
0.394386,0.0696,-0.0105,0.9787,0.981
0.396240,0.1051,0.0159,0.9799,0.986
0.397542,0.0848,-0.0103,0.9804,0.984
0.400323,0.0777,0.0051,0.9699,0.973
0.401625,0.1246,-0.0213,1.0202,1.028
0.404774,0.1202,-0.0398,0.9958,1.004
0.405368,0.1380,0.0093,0.9139,0.924
0.408441,0.0557,0.0225,1.0014,1.003
0.409575,0.0503,0.0068,0.9955,0.997
0.412521,0.0699,0.0159,0.9523,0.955
0.413651,0.0765,-0.0171,0.9687,0.972
0.416448,0.0493,-0.0286,0.9897,0.991
0.417457,0.0665,0.0061,1.0212,1.023
0.420780,0.0630,-0.0142,1.0559,1.058
0.421907,0.0779,0.0044,1.0112,1.014
0.426358,0.0603,0.0017,0.9931,0.995
0.426900,0.0425,0.0076,0.9963,0.997
0.428509,0.0794,0.0002,0.9628,0.966
0.429710,0.1266,-0.0191,0.9882,0.996
0.432837,0.0892,0.0012,1.0078,1.012
0.434147,0.0750,0.0032,1.0083,1.011
0.436781,0.1058,-0.0112,0.9411,0.947
0.437456,0.0953,-0.0310,0.9240,0.929
0.440733,0.0880,-0.0037,0.9965,1.000
0.442020,0.1700,-0.0024,1.0498,1.063
0.444766,0.0655,-0.0117,0.9572,0.960
0.445769,0.0894,-0.0247,0.9447,0.949
0.448679,0.1573,-0.0215,0.9767,0.990
0.449578,0.0953,-0.0068,1.0002,1.005
0.452514,0.1082,-0.0044,0.9941,1.000
0.453760,0.1070,0.0024,0.9836,0.989
0.457059,0.0980,-0.0076,0.9469,0.952
0.457575,0.0967,0.0042,0.9447,0.950
0.460573,0.0926,-0.0281,0.9704,0.975
0.462144,0.1217,-0.0445,1.0647,1.073
0.464810,0.1109,-0.0129,1.0393,1.045
0.465577,0.0809,0.0259,1.0180,1.022
0.468862,0.0916,0.0022,0.9704,0.975
0.469747,0.1170,0.0098,0.8815,0.889
0.472502,0.1275,-0.0276,0.8751,0.885
0.473869,0.1642,-0.0217,0.9992,1.013
0.476491,0.0599,-0.0083,1.0256,1.027
0.478049,0.1204,0.0095,0.9526,0.960
0.480655,0.0887,0.0005,0.9125,0.917
0.481781,0.0594,0.0015,0.9711,0.973
