time,gFx,gFy,gFz,TgF
0.260205,0.0838,0.0682,0.8607,0.867
0.262536,0.0679,0.0366,0.8612,0.865
0.264243,0.0853,0.0457,0.9621,0.967
0.270458,0.1082,0.0779,0.9748,0.984
0.270871,0.0826,0.0606,0.9521,0.958
0.271062,0.1075,0.0320,0.9281,0.935
0.272198,0.1363,0.0279,0.9074,0.918
0.275219,0.0423,0.0523,0.9205,0.923
0.278911,0.0640,0.0818,0.9543,0.960
0.279279,0.0923,0.0716,0.9420,0.949
0.280034,0.1055,0.0533,0.9179,0.925
0.282427,0.0948,0.0369,0.9047,0.910
0.284788,0.0814,0.0667,0.9486,0.954
0.286254,0.0765,0.0701,0.9616,0.967
0.288280,0.0821,0.0357,0.9252,0.930
0.290109,0.0882,0.0537,0.8876,0.894
0.293449,0.1119,0.0621,0.8939,0.903
0.294404,0.0650,0.0513,0.9103,0.914
0.296023,0.0452,0.0520,0.8932,0.896
0.298615,0.0997,0.0386,0.9670,0.973
0.300726,0.1168,0.0281,0.9697,0.977
0.302666,0.0882,0.0767,0.9333,0.941
0.304430,0.0349,0.0677,0.9423,0.945
0.306656,0.0618,0.0618,0.9161,0.920
0.308163,0.0936,0.0501,0.8499,0.857
0.310809,0.0591,0.0437,0.9286,0.932
0.312695,0.1258,0.0457,0.9660,0.975
0.315846,0.1114,0.0682,0.9521,0.961
0.316132,0.1273,0.0486,0.9269,0.937
0.318891,0.0508,0.0503,0.9543,0.957
0.320512,0.0855,0.0545,0.9455,0.951
0.322956,0.0643,0.0589,0.8810,0.885
0.324037,0.0928,0.0257,0.8929,0.898
0.326602,0.0989,0.0300,0.9012,0.907
0.328782,0.0677,0.0755,0.9289,0.934
0.331274,0.0880,0.0457,0.9479,0.953
0.332687,0.1185,0.0708,0.9579,0.968
0.335373,0.0960,0.0440,0.9306,0.937
0.337733,0.0362,0.0684,0.9132,0.916
0.338912,0.1251,0.0349,0.8839,0.893
0.340703,0.1410,0.0662,0.9017,0.915
0.345886,0.0623,0.0476,0.9701,0.973
0.346271,0.0484,0.0364,0.9504,0.952
0.346455,0.1029,0.0474,0.8971,0.904
0.348223,0.0476,0.0650,0.8944,0.898
0.350782,0.0210,0.0723,0.9205,0.924
0.352716,0.0787,0.0418,0.9235,0.928
0.354910,0.0689,0.0293,0.9235,0.927
0.357043,0.1217,0.0293,0.8910,0.900
0.358975,0.0982,0.0493,0.9379,0.944
0.360437,0.0850,0.0691,0.9838,0.990
0.363077,0.0638,0.0728,0.9411,0.946
0.364603,0.0838,0.0557,0.8736,0.879
0.367119,0.0994,0.0230,0.9318,0.937
0.368819,0.1041,0.0481,0.9787,0.985
0.370878,0.0147,0.0667,0.9809,0.983
0.372590,0.0941,0.0584,0.9376,0.944
0.375065,0.1195,0.0415,0.8849,0.894
0.376521,0.0760,0.0423,0.8607,0.865
0.378735,0.0862,0.0584,0.9496,0.955
0.380544,0.0965,0.0596,0.9484,0.955
0.382938,0.0679,0.0440,0.9347,0.938
0.384778,0.0716,0.0528,0.9176,0.922
0.387620,0.0867,0.0420,0.9020,0.907
0.388620,0.0525,0.0633,0.8927,0.896
0.390892,0.0767,0.0276,0.9215,0.925
0.393101,0.1143,0.0562,0.9907,0.999
0.395057,0.0982,0.0589,0.9794,0.986
0.397283,0.0667,0.0733,0.9484,0.954
0.398779,0.0511,0.0374,0.8587,0.861
0.400895,0.0530,0.0794,0.8091,0.815
0.402695,0.0877,0.0381,0.8326,0.838
0.404399,0.0862,0.0525,0.9653,0.971
0.406803,0.0836,0.0701,1.0327,1.038
0.408649,0.0640,0.0638,0.9980,1.002
0.411082,0.0877,0.0354,0.9333,0.938
0.412677,0.0694,0.0567,0.8998,0.904
0.415273,0.0469,0.0684,0.9750,0.979
0.417551,0.0892,0.0530,0.9609,0.966
0.418945,0.1236,0.0447,0.9064,0.916
0.420633,0.0884,0.0452,0.9088,0.914
0.422868,0.0853,0.0430,0.9227,0.928
0.424927,0.0755,0.0713,0.9093,0.915
0.426831,0.0784,0.0858,0.9411,0.948
0.429016,0.0625,0.0398,0.9110,0.914
0.431149,0.0708,0.0550,0.8695,0.874
0.432336,0.1143,0.0134,0.9076,0.915
0.435139,0.0733,0.0459,0.9743,0.978
0.436564,0.0674,0.0591,0.9611,0.965
0.438783,0.0994,0.0906,0.9540,0.963
0.440624,0.0789,0.0574,0.9215,0.927
0.445803,0.0665,0.0733,0.8487,0.854
0.446330,0.0770,0.0381,0.8868,0.891
0.447456,0.1011,0.0564,0.9936,1.000
0.448411,0.0792,0.0440,0.9591,0.963
0.453493,0.1007,0.0579,0.9325,0.940
0.454049,0.0845,0.0547,0.9096,0.915
0.454746,0.0562,0.0511,0.9081,0.911
0.456430,0.0564,0.0359,0.9191,0.922
0.461623,0.0943,0.0508,0.9308,0.937
0.462290,0.0735,0.0476,0.9333,0.937
0.462551,0.1077,0.0396,0.9328,0.940
0.464590,0.0906,0.0518,0.9379,0.944
0.466462,0.1224,0.0660,0.9523,0.962
0.469267,0.0623,0.0498,0.9313,0.935
0.471668,0.0457,0.0606,0.8829,0.886
0.473383,0.0865,0.0205,0.8314,0.836
0.475765,0.0662,0.0442,0.9345,0.938
0.477256,0.0603,0.0640,0.9792,0.983
0.480044,0.0782,0.0552,0.9885,0.993
0.480301,0.0726,0.0486,1.0004,1.004
0.482519,0.0415,0.0584,0.9479,0.951
0.484418,0.0481,0.0528,0.9044,0.907
0.486388,0.0503,0.0420,0.8624,0.865
0.488420,0.0967,0.0515,0.9064,0.913
0.490848,0.0933,0.0332,0.9494,0.955
0.492666,0.1290,0.0601,0.9633,0.974
0.494763,0.0811,0.0581,0.9518,0.957
0.496399,0.0462,0.0577,0.9137,0.917
0.498434,0.1131,0.0701,0.9005,0.910
0.500648,0.0344,0.0313,0.9142,0.915
0.502822,0.1251,0.0398,0.9367,0.946
0.504581,0.1329,0.0415,0.9389,0.949
0.506525,0.0848,0.0589,1.0229,1.028
0.509295,0.0503,0.0667,0.9591,0.963
0.510655,0.0474,0.0772,0.8560,0.861
0.512619,0.0848,0.0503,0.8458,0.852
0.514665,0.0923,0.0386,0.8587,0.865
0.516406,0.0589,0.0515,0.9391,0.942
0.518842,0.0809,0.0437,0.9963,1.001
0.520977,0.0992,0.0596,1.0048,1.011
0.522865,0.0469,0.0540,0.9215,0.924
0.524926,0.0481,0.0469,0.9130,0.915
0.527258,0.0716,0.0296,0.9071,0.910
0.528571,0.1307,0.0621,0.9398,0.951
0.531189,0.0542,0.0564,0.9648,0.968
0.532620,0.0728,0.0474,0.9613,0.965
0.535506,0.1322,0.0467,0.8751,0.886
0.538797,0.0667,0.0596,0.9157,0.920
0.541054,0.0252,0.0704,0.9665,0.969
0.541503,0.0823,0.0594,0.9425,0.948
0.544024,0.0806,0.0437,0.9149,0.920
0.550155,0.0743,0.0279,0.9132,0.917
0.550948,0.0464,0.0530,0.8988,0.902
0.551273,0.0904,0.0320,0.9474,0.952
0.551553,0.0926,0.0467,0.9860,0.991
0.553479,0.0919,0.0713,0.9709,0.978
0.556296,0.0716,0.0870,0.9364,0.943
0.556900,0.0655,0.0386,0.8636,0.867
0.572163,0.1026,0.0325,0.8695,0.876
0.572938,0.1107,0.0220,0.9447,0.951
0.573266,0.0897,0.0713,1.0522,1.058
0.573553,0.0752,0.0454,0.9526,0.957
0.573827,0.0840,0.0623,0.8973,0.903
0.574118,0.0794,0.0388,0.8477,0.852
0.574408,0.1163,0.0596,0.9213,0.931
0.574739,0.0740,0.0572,1.0100,1.014
0.580753,0.0948,0.0528,0.9995,1.005
0.581624,0.1029,0.0501,0.8885,0.896
0.581919,0.0635,0.0611,0.8756,0.880
0.582181,0.0655,0.0481,0.9093,0.913
0.583723,0.0691,0.0408,0.9281,0.932
0.585640,0.0892,0.0630,0.9613,0.968
0.587881,0.1129,0.0552,0.9826,0.991
0.589736,0.0476,0.0564,0.9565,0.959
0.591892,0.0963,0.0354,0.8878,0.894
0.594150,0.1043,0.0398,0.8966,0.904
0.595455,0.0784,0.0640,0.9354,0.941
0.597192,0.0523,0.0689,0.9692,0.973
0.598874,0.1119,0.0349,0.9198,0.927
0.601624,0.0921,0.0288,0.8944,0.900
0.604718,0.0941,0.0388,0.9205,0.926
0.605256,0.0298,0.0772,0.9926,0.996
0.607363,0.0569,0.0716,0.9474,0.952
0.610445,0.0432,0.0569,0.9042,0.907
0.611290,0.0909,0.0415,0.8785,0.884
0.614565,0.0877,0.0530,0.8866,0.892
0.616660,0.0733,0.0484,0.8973,0.902
0.617140,0.1209,0.0366,0.9508,0.959
0.620818,0.0662,0.0603,0.9899,0.994
0.621335,0.0728,0.0535,0.9012,0.906
0.623755,0.0432,0.0503,0.8995,0.902
0.626712,0.1009,0.0572,0.9697,0.977
0.627229,0.0401,0.0667,0.9521,0.955
0.632652,0.0613,0.0774,0.9562,0.961
0.633217,0.0596,0.0623,0.9420,0.946
0.633574,0.0845,0.0362,0.8534,0.858
0.637160,0.0921,0.0418,0.8209,0.827
0.637681,0.0765,0.0440,0.8920,0.896
0.640073,0.1129,0.0493,1.0256,1.033
0.642262,0.0816,0.0550,0.9606,0.966
0.648954,0.0643,0.0574,0.9276,0.932
0.649779,0.1065,0.0413,0.9208,0.928
0.650127,0.0853,0.0728,0.9508,0.957
0.650433,0.0496,0.0706,0.9420,0.946
0.652852,0.0462,0.0386,0.8951,0.897
0.653683,0.1290,0.0296,0.8995,0.909
0.655920,0.0616,0.0721,0.9442,0.949
0.658454,0.0484,0.0687,0.9631,0.967
0.675880,0.1077,0.0484,0.9577,0.965
0.676660,0.0503,0.0472,0.9425,0.945
0.677027,0.0552,0.0520,0.9303,0.933
0.677348,0.0730,0.0489,0.9118,0.916
0.677640,0.1119,0.0513,0.9369,0.945
0.677921,0.0963,0.0628,0.9271,0.934
0.678246,0.1109,0.0469,0.8702,0.879
0.678561,0.1014,0.0259,0.9345,0.940
0.678845,0.0452,0.0535,0.9870,0.989
0.679120,0.0327,0.0762,0.9711,0.975
0.682690,0.0515,0.0493,0.9533,0.956
0.683118,0.0838,0.0386,0.9227,0.927
0.684768,0.0618,0.0472,0.9135,0.917
0.685176,0.0772,0.0410,0.9684,0.972
0.687701,0.0733,0.0831,0.8939,0.901
0.689492,0.1158,0.0410,0.8841,0.893
0.691739,0.1212,0.0308,0.9142,0.923
0.694085,0.0926,0.0469,0.9479,0.954
0.697681,0.0511,0.0674,0.9682,0.972
0.698202,0.0752,0.0635,0.9450,0.950
0.701143,0.0816,0.0489,0.8993,0.904
0.701753,0.0848,0.0322,0.9684,0.973
0.704887,0.1160,0.0523,0.9985,1.007
0.705348,0.0862,0.0762,0.9885,0.995
0.707653,0.0633,0.0630,0.9083,0.913
0.710269,0.1046,0.0618,0.8614,0.870
0.712216,0.1007,0.0613,0.8900,0.898
0.714317,0.0735,0.0171,0.9384,0.941
0.715837,0.0796,0.0818,0.9237,0.931
0.718284,0.0936,0.0584,0.9201,0.927
0.720173,0.0833,0.0591,0.9855,0.991
0.721764,0.0948,0.0447,0.9340,0.940
0.723866,0.0535,0.0393,0.9081,0.911
0.727086,0.0657,0.0445,0.9227,0.926
0.727985,0.0860,0.0352,0.8905,0.895
