time,gFx,gFy,gFz,TgF
0.250658,-0.0239,0.0503,0.9425,0.944
0.253949,-0.0217,0.0296,0.9748,0.975
0.255028,0.0242,0.0208,0.9384,0.939
0.258078,-0.0374,0.0574,0.9269,0.929
0.258914,0.0445,0.0107,1.0877,1.089
0.262187,0.0239,0.0225,1.0478,1.048
0.263170,-0.0264,0.0161,0.8766,0.877
0.266003,0.0371,0.0447,1.0615,1.063
0.267121,-0.0254,0.0540,1.0706,1.072
0.270830,0.0076,0.0388,0.9958,0.997
0.271293,-0.0078,0.0254,0.9181,0.918
0.275955,-0.0406,0.0704,0.9982,1.002
0.276579,-0.0203,0.0274,1.0527,1.053
0.278153,0.0721,0.0281,0.9467,0.950
0.278529,-0.0330,0.0508,0.9154,0.917
0.282191,0.0882,0.0259,1.0620,1.066
0.282712,0.0718,0.0183,0.9960,0.999
0.286101,-0.0005,0.0186,0.9315,0.932
0.286500,0.0110,0.0200,1.1446,1.145
0.290423,0.0445,0.0225,1.0684,1.070
0.290964,-0.0621,0.0472,0.7549,0.759
0.294225,0.0264,0.0144,0.9880,0.988
0.295021,0.0012,0.0061,1.1170,1.117
0.298177,-0.0183,0.0193,1.0400,1.040
0.298832,0.0335,0.0093,0.9816,0.982
0.301968,-0.0095,0.0633,0.9181,0.920
0.302568,-0.0288,0.0684,0.8876,0.891
0.306133,-0.0635,0.0376,0.9841,0.987
0.307344,0.0425,-0.0325,1.0461,1.047
0.310667,0.0589,-0.0156,1.0163,1.018
0.311224,0.0027,0.0300,0.9855,0.986
0.314321,-0.0310,0.0599,0.9843,0.987
0.314823,-0.0078,0.0523,0.8917,0.893
0.318245,0.0347,0.0535,0.9196,0.922
0.318671,0.0110,0.0186,1.0632,1.063
0.322332,-0.0095,0.0066,1.0236,1.024
0.322690,0.0061,0.0452,0.9770,0.978
0.333664,-0.0286,-0.0027,0.9863,0.987
0.334198,0.0000,0.0462,0.9147,0.916
0.334468,0.0154,0.0366,0.9738,0.975
0.334708,-0.0418,0.0342,1.1028,1.104
0.335021,0.0410,0.0076,1.0481,1.049
0.335259,0.0078,0.0342,0.8453,0.846
0.337803,-0.0408,0.0406,0.9064,0.908
0.338448,-0.0362,0.0542,1.0828,1.085
0.341581,0.0137,0.0132,0.9709,0.971
0.342757,0.0369,0.0386,0.9088,0.910
0.347355,-0.0586,0.0142,0.9259,0.928
0.347747,-0.0049,0.0303,1.1038,1.104
0.349668,-0.0198,0.0437,1.0288,1.030
0.350569,-0.0093,0.0381,0.9323,0.933
0.354046,-0.0090,0.0418,0.9054,0.906
0.355028,-0.0450,0.0388,1.0043,1.006
0.358620,0.0313,0.0310,0.9784,0.979
0.359178,0.0090,0.0093,0.9562,0.956
0.361850,-0.0293,0.0115,1.0383,1.039
0.362793,0.0269,0.0347,0.9850,0.986
0.365592,0.0257,0.0445,0.9384,0.940
0.366473,-0.0244,0.0198,0.9850,0.986
0.369913,-0.0552,0.0601,0.9684,0.972
0.370979,-0.0362,0.0239,0.9577,0.959
0.374734,0.0985,0.0364,0.9565,0.962
0.375602,-0.1019,0.0293,1.0434,1.049
0.377552,-0.0288,0.0100,1.0737,1.074
0.378762,0.0344,0.0327,0.9223,0.923
0.382624,-0.0166,0.0752,0.9479,0.951
0.383100,-0.0254,0.0374,1.0979,1.099
0.385458,-0.0208,0.0122,1.0185,1.019
0.386516,0.0352,0.0127,0.9205,0.921
0.389878,-0.0291,0.0384,1.1253,1.126
0.391561,-0.0364,0.0406,1.1082,1.110
0.393917,-0.0029,0.0401,0.8495,0.850
0.394735,-0.0335,0.0415,0.9472,0.949
0.397665,0.0156,0.0335,1.1348,1.135
0.398700,0.0425,0.0056,1.0877,1.088
0.401860,-0.0286,0.0230,0.9843,0.985
0.402499,0.0046,0.0230,1.0109,1.011
0.406101,0.0054,0.0493,0.9719,0.973
0.406579,-0.0088,0.0305,0.8961,0.897
0.409757,0.0120,0.0217,1.1192,1.119
0.410645,0.0535,0.0117,1.1678,1.169
0.413803,0.0034,0.0381,0.9589,0.960
0.414708,-0.0288,0.0288,0.8859,0.887
0.417740,0.0081,0.0274,1.0083,1.009
0.418652,-0.0352,0.0472,1.0684,1.070
0.421759,-0.0054,-0.0117,1.0588,1.059
0.422828,0.0388,0.0454,0.8905,0.893
0.426936,-0.0349,0.0386,0.8622,0.864
0.427579,-0.0088,0.0491,1.0251,1.026
0.430436,-0.0181,0.0342,1.0139,1.015
0.430792,0.0445,0.0186,1.0324,1.034
0.434021,0.0332,0.0083,1.0647,1.065
0.435508,-0.0730,0.0503,0.9848,0.989
0.437936,-0.0366,0.0662,0.9491,0.952
0.438920,-0.0413,0.0564,0.9694,0.972
0.442744,-0.0195,0.0210,0.9631,0.963
0.443752,-0.0555,0.0406,0.9999,1.002
0.446262,-0.0044,0.0572,1.0561,1.058
0.447483,0.0081,0.0320,1.0429,1.043
0.450096,-0.0752,0.0435,0.9435,0.948
0.450952,0.0279,0.0388,1.0041,1.005
0.455123,-0.0508,0.0322,0.9809,0.983
0.455557,0.0313,0.0450,0.9508,0.952
0.458082,0.0432,0.0315,1.0771,1.078
0.459978,0.0222,0.0205,1.0742,1.075
0.461756,0.0630,0.0665,0.9609,0.965
0.463532,-0.0689,0.0643,1.0039,1.008
0.465992,-0.0684,0.0242,1.0781,1.081
0.466764,-0.0046,0.0203,1.0188,1.019
0.469824,0.0024,0.0474,0.9191,0.920
0.470666,-0.0037,0.0550,1.1243,1.126
0.474753,0.0115,0.0364,1.1390,1.140
0.475506,0.0359,0.0159,0.9208,0.922
0.477858,-0.0110,0.0388,0.9345,0.935
0.478942,0.0037,0.0454,1.0244,1.025
0.481901,0.0005,0.0442,1.0872,1.088
0.482728,0.0154,0.0051,0.9704,0.971
0.485826,0.0315,0.0154,0.9784,0.979
0.486680,-0.0164,0.0156,1.0598,1.060
0.490003,-0.0413,0.0286,1.1639,1.165
0.491226,0.0276,0.0430,1.0105,1.012
0.494296,-0.0171,0.0523,0.9318,0.933
0.494815,-0.0320,0.0537,0.9159,0.918
0.498341,-0.0064,0.0384,1.0698,1.071
0.498748,0.0384,-0.0200,1.0867,1.088
0.502144,0.0928,-0.0017,1.0412,1.045
0.502994,0.0496,0.0156,1.0828,1.084
0.506236,0.0081,0.0728,1.0068,1.009
0.508706,-0.0713,0.0599,0.9279,0.933
0.510454,0.0000,0.0584,1.0383,1.040
0.510943,0.0435,-0.0327,1.0989,1.100
0.514926,0.0112,0.0064,0.9995,1.000
0.515389,0.0428,0.0242,0.9596,0.961
0.518239,0.0332,0.0640,1.0649,1.067
0.518743,-0.0188,0.0362,1.0449,1.046
0.522779,-0.0103,0.0259,1.0884,1.089
0.523224,-0.0095,0.0166,1.1282,1.128
0.525997,-0.0677,0.0398,0.9687,0.972
0.527565,-0.0581,0.0450,0.8851,0.888
0.530380,0.0335,0.0454,0.8898,0.892
0.531496,0.0086,-0.0005,1.0916,1.092
0.534350,0.0481,-0.0112,1.1001,1.101
0.536458,0.0332,0.0029,1.0464,1.047
0.539097,0.0279,0.0459,1.0161,1.017
0.539490,-0.0977,0.0789,0.9955,1.003
0.544782,-0.1002,0.0687,0.9995,1.007
0.545539,-0.0066,0.0144,1.0644,1.065
0.546074,0.0704,-0.0198,0.9689,0.972
0.549220,-0.0215,-0.0103,0.9335,0.934
0.550161,0.0186,0.0381,1.0889,1.090
0.550924,0.0418,0.0107,1.0293,1.030
